G,W,ORB,FTR,2P_O,3P_O,P_V
34,28,38.1,38.2,47.7,33.1,0.8235294117647058
33,26,28.8,40.3,50.5,31.7,0.7878787878787878
34,24,38.1,42.9,49.7,33.6,0.7058823529411765
34,24,32.2,43.8,51.0,38.9,0.7058823529411765
35,24,39.6,43.4,46.9,32.7,0.6857142857142857
35,28,30.6,41.2,53.6,39.0,0.8
33,23,35.8,39.5,52.7,33.0,0.696969696969697
36,26,37.2,44.3,50.1,35.1,0.7222222222222222
31,26,32.3,48.4,49.7,38.6,0.8387096774193549
30,23,30.6,41.6,55.4,34.7,0.7666666666666667
33,30,38.2,39.9,52.3,34.9,0.9090909090909091
33,24,32.0,37.3,51.6,38.8,0.7272727272727273
34,31,37.8,40.8,55.0,36.5,0.9117647058823529
35,28,27.9,44.0,50.0,34.0,0.8
36,27,36.6,29.8,50.5,35.1,0.75
35,26,35.9,38.4,50.2,34.3,0.7428571428571429
36,31,35.6,37.2,51.1,37.2,0.8611111111111112
32,21,31.8,35.3,48.3,32.7,0.65625
34,21,33.6,31.0,47.4,31.7,0.6176470588235294
36,28,28.8,34.2,55.7,41.4,0.7777777777777778
33,24,41.4,44.1,48.4,34.1,0.7272727272727273
35,24,34.6,28.2,46.3,37.2,0.6857142857142857
34,24,30.8,35.6,48.8,32.8,0.7058823529411765
35,23,34.2,33.0,51.9,37.4,0.6571428571428571
34,21,43.6,41.6,48.8,33.7,0.6176470588235294
33,21,32.5,31.2,48.8,30.2,0.6363636363636364
36,27,34.1,38.8,49.4,32.4,0.75
29,19,25.6,49.6,51.5,39.8,0.6551724137931034
31,23,29.6,28.5,53.1,38.7,0.7419354838709677
36,26,31.8,37.3,46.9,34.3,0.7222222222222222
33,25,28.7,40.8,51.5,34.4,0.7575757575757576
31,24,25.6,43.4,51.0,38.4,0.7741935483870968
35,26,31.3,36.4,51.5,33.1,0.7428571428571429
33,21,22.6,24.6,56.5,38.9,0.6363636363636364
34,26,29.3,40.5,48.5,38.6,0.7647058823529411
36,23,36.0,39.4,47.2,30.4,0.6388888888888888
33,25,31.0,35.7,53.1,30.5,0.7575757575757576
32,20,36.9,36.1,50.4,35.0,0.625
33,21,33.4,34.3,49.8,35.6,0.6363636363636364
33,22,23.4,40.9,54.6,40.3,0.6666666666666666
32,22,29.1,29.1,52.2,36.4,0.6875
33,21,33.4,34.2,52.1,37.2,0.6363636363636364
34,31,27.0,24.5,50.1,38.3,0.9117647058823529
33,21,23.9,36.5,57.3,38.8,0.6363636363636364
34,20,29.1,34.9,50.6,34.2,0.5882352941176471
34,20,30.2,36.8,49.3,33.3,0.5882352941176471
33,24,32.6,39.0,47.9,35.8,0.7272727272727273
31,24,34.8,32.2,50.7,37.2,0.7741935483870968
34,29,29.8,34.3,55.5,36.7,0.8529411764705882
33,27,27.3,35.9,51.6,35.9,0.8181818181818182
33,26,36.6,43.8,51.3,36.3,0.7878787878787878
33,22,36.7,33.2,47.7,34.8,0.6666666666666666
33,21,29.1,26.6,44.9,33.7,0.6363636363636364
35,30,37.2,36.0,51.0,40.6,0.8571428571428571
33,25,35.4,34.8,53.8,38.1,0.7575757575757576
35,28,37.4,37.6,47.6,34.5,0.8
31,17,31.7,37.3,51.5,34.2,0.5483870967741935
31,26,33.8,33.8,55.4,33.7,0.8387096774193549
30,23,27.4,40.6,53.2,32.7,0.7666666666666667
34,20,35.3,32.7,50.2,40.6,0.5882352941176471
34,21,36.5,41.7,50.9,32.7,0.6176470588235294
35,22,24.8,27.8,52.6,38.0,0.6285714285714286
35,29,37.1,30.0,51.4,43.4,0.8285714285714286
35,26,35.0,35.4,52.8,36.7,0.7428571428571429
