G,W,ORB,FTR,2P_O,3P_O,P_V
37,27,35.9,32.9,51.1,35.9,0.7297297297297297
37,30,28.0,35.6,54.1,42.0,0.8108108108108109
37,30,24.7,27.5,51.8,34.2,0.8108108108108109
35,24,31.5,32.8,48.2,34.3,0.6857142857142857
35,25,40.1,40.4,45.5,31.6,0.7142857142857143
35,23,26.2,26.1,56.7,38.7,0.6571428571428571
34,27,39.8,33.9,52.2,35.3,0.7941176470588235
37,28,37.9,38.9,49.8,36.2,0.7567567567567568
37,26,37.0,31.3,48.8,35.3,0.7027027027027027
37,23,31.3,38.5,53.7,35.1,0.6216216216216216
34,25,27.2,37.1,54.5,36.6,0.7352941176470589
34,29,34.5,36.2,48.9,35.4,0.8529411764705882
37,29,26.7,36.3,52.1,39.2,0.7837837837837838
36,22,33.8,35.7,47.4,36.8,0.6111111111111112
34,25,31.3,43.4,52.3,40.1,0.7352941176470589
37,32,33.2,40.5,51.5,39.0,0.8648648648648649
36,31,29.1,26.8,59.1,40.6,0.8611111111111112
38,25,29.6,29.4,51.6,35.1,0.6578947368421053
37,28,34.8,38.1,51.3,34.1,0.7567567567567568
37,26,35.7,44.0,51.2,35.7,0.7027027027027027
35,22,33.9,32.0,52.5,32.9,0.6285714285714286
35,28,36.7,37.1,52.9,31.9,0.8
36,31,31.6,33.3,55.4,36.7,0.8611111111111112
35,27,32.1,34.4,54.3,37.8,0.7714285714285715
37,32,33.0,32.1,58.2,36.8,0.8648648648648649
37,30,33.9,42.0,49.0,36.9,0.8108108108108109
36,28,28.8,36.4,54.4,35.8,0.7777777777777778
37,31,37.1,41.2,52.7,36.8,0.8378378378378378
34,29,36.1,45.1,45.1,34.2,0.8529411764705882
37,28,29.8,38.2,53.0,38.0,0.7567567567567568
36,24,40.1,44.8,48.3,38.0,0.6666666666666666
36,23,29.3,45.0,49.9,36.4,0.6388888888888888
36,23,39.7,41.8,50.6,31.9,0.6388888888888888
36,29,39.0,45.8,52.0,40.3,0.8055555555555556
37,31,33.8,39.5,52.9,36.4,0.8378378378378378
36,29,31.3,34.6,50.6,36.2,0.8055555555555556
35,26,36.1,36.6,50.4,34.1,0.7428571428571429
35,27,35.0,37.4,50.6,37.1,0.7714285714285715
37,28,35.8,38.4,49.1,33.3,0.7567567567567568
34,24,29.0,31.3,49.3,37.7,0.7058823529411765
35,24,32.5,35.2,52.3,33.4,0.6857142857142857
